T_K,T_C,G_cu2o,G_cuo,G_cu,dG_cu2o_formation,dG_cuo_formation,dG_cu2o_per_O2,dG_cuo_per_O2
500.0,226.85000000000002,-73444.48876690907,-90053.61688297796,-17995.474922765236,-37453.5389213786,-72058.14196021273,-74907.0778427572,-144116.28392042546
509.09090909090907,235.9409090909091,-73832.62006306095,-90353.37431136092,-18418.043806408943,-36996.53245024307,-71935.33050495198,-73993.06490048613,-143870.66100990397
518.1818181818181,245.03181818181815,-74224.61939122848,-90656.81668288975,-18844.868011382292,-36534.883368463896,-71811.94867150746,-73069.76673692779,-143623.89734301492
527.2727272727273,254.12272727272727,-74620.43191863067,-90963.92435508413,-19275.881673084205,-36068.66857246226,-71688.04268199993,-72137.33714492452,-143376.08536399985
536.3636363636364,263.2136363636364,-75020.00443440622,-91274.67688401039,-19711.02106506174,-35597.96230428274,-71563.65581894865,-71195.92460856547,-143127.3116378973
545.4545454545455,272.3045454545455,-75423.28528491818,-91589.05316279786,-20150.224497758594,-35122.83628940099,-71438.82866503927,-70245.67257880198,-142877.65733007854
554.5454545454545,281.3954545454545,-75830.22431192646,-91907.03154297256,-20593.43222340648,-34643.3598651135,-71313.59931956608,-69286.719730227,-142627.19863913217
563.6363636363636,290.48636363636365,-76240.77279353203,-92228.58994077935,-21040.586346614273,-34159.60010030348,-71188.00359416507,-68319.20020060697,-142376.00718833014
572.7272727272727,299.57727272727277,-76654.88338779006,-92553.7059303699,-21491.630740246197,-33671.62190729767,-71062.07519012371,-67343.24381459533,-142124.15038024742
581.8181818181819,308.6681818181819,-77072.51007888687,-92882.35682548315,-21946.510966214137,-33179.4881464586,-70935.84585926901,-66358.9762929172,-141871.69171853803
590.9090909090909,317.7590909090909,-77493.6081257732,-93214.5197510286,-22405.174200839076,-32683.25972409505,-70809.34555018952,-65366.5194481901,-141618.69110037904
600.0,326.85,-77918.13401314658,-93550.17170580031,-22867.56916446462,-32182.99568421734,-70682.60254133568,-64365.99136843468,-141365.20508267137
609.0909090909091,335.94090909090914,-78346.04540467766,-93889.28961739011,-23333.646055030862,-31678.753294615934,-70555.64356235924,-63357.50658923187,-141111.28712471848
618.1818181818182,345.03181818181827,-78777.30109837573,-94231.8503902322,-23803.35648533974,-31170.588127696246,-70428.49390489246,-62341.17625539249,-140856.9878097849
627.2727272727273,354.1227272727273,-79211.86098399363,-94577.830947595,-24276.653423764288,-30658.55413646505,-70301.1775238307,-61317.1082729301,-140602.3550476614
636.3636363636364,363.2136363636364,-79649.68600237316,-94927.20826823263,-24753.49113817286,-30142.703726027437,-70173.71713005977,-60285.407452054875,-140347.43426011954
645.4545454545455,372.3045454545455,-80090.73810663751,-95279.95941832174,-25233.82514285768,-29623.08782092215,-70046.13427546406,-59246.1756418443,-140092.26855092813
654.5454545454545,381.3954545454545,-80534.98022513954,-95636.06157923244,-25717.612148272514,-29099.755928594517,-69918.44943095992,-58199.511857189034,-139836.89886191985
663.6363636363636,390.48636363636365,-80982.37622607958,-95995.49207161632,-26204.81001339926,-28572.75619928106,-69790.68205821706,-57145.51239856212,-139581.36411643412
672.7272727272727,399.57727272727277,-81432.89088370907,-96358.22837623526,-26695.377700576384,-28042.135482556303,-69662.85067565888,-56084.270965112606,-139325.70135131775
681.8181818181819,408.6681818181819,-81886.48984604183,-96724.24815190617,-27189.275232634744,-27507.939380772346,-69534.97291927143,-55015.87876154469,-139069.94583854286
690.909090909091,417.759090909091,-82343.13960399643,-97093.52925089165,-27686.463652197694,-26970.212299601044,-69407.06559869395,-53940.42459920209,-138814.1311973879
700.0,426.85,-82802.80746189915,-97466.04973202785,-28186.904983011962,-26428.99749587523,-69279.14474901589,-52857.99499175046,-138558.28949803178
709.0909090909091,435.94090909090914,-83265.4615092784,-97841.78787184818,-28690.562193186815,-25884.337122904763,-69151.22567866137,-51768.674245809525,-138302.45135732275
718.1818181818182,445.03181818181827,-83731.07059388637,-98220.72217393041,-29197.399160225727,-25336.272273434915,-69023.32301370468,-50672.54454686983,-138046.64602740936
727.2727272727273,454.1227272727273,-84199.60429588683,-98602.83137667022,-29707.38063774494,-24784.843020396955,-68895.45073892528,-49569.68604079391,-137790.90147785057
736.3636363636364,463.2136363636364,-84671.0329031504,-98988.09445965991,-30220.47222377919,-24230.088455592013,-68767.62223588073,-48460.176911184026,-137535.24447176146
745.4545454545455,472.3045454545455,-85145.32738760249,-99376.49064883201,-30736.640330581977,-23672.046726438537,-68639.85031825004,-47344.093452877074,-137279.70063650009
754.5454545454545,481.3954545454545,-85622.45938257201,-99767.99942050915,-31255.852155835073,-23110.75507090186,-68512.14726467407,-46221.51014180372,-137024.29452934815
763.6363636363637,490.48636363636376,-86102.40116109078,-100162.60050448541,-31778.075655186116,-22546.249850718545,-68384.5248492993,-45092.49970143709,-136769.0496985986
772.7272727272727,499.57727272727277,-86585.12561509758,-100560.27388625205,-32303.279516039893,-21978.566583017797,-68256.99437021215,-43957.13316603559,-136513.9887404243
781.8181818181819,508.6681818181819,-87070.60623550246,-100960.99980846616,-32831.433132533275,-21407.739970435912,-68129.56667593289,-42815.479940871825,-136259.13335186578
790.909090909091,517.759090909091,-87558.81709306862,-101364.75877175156,-33362.50658162808,-20833.803929812464,-68002.25219012349,-41667.60785962493,-136004.50438024697
800.0,526.85,-88049.73282007381,-101771.5315349107,-33896.47060026104,-20256.791619551732,-67875.06093464966,-40513.583239103464,-135750.12186929933
809.0909090909091,535.9409090909091,-88543.328592712,-102181.29911461826,-34433.29656349373,-19676.735465724545,-67748.00255112453,-39353.47093144909,-135496.00510224907
818.1818181818182,545.0318181818183,-89039.58011420094,-102594.04278465909,-34972.95646360828,-19093.667186984385,-67621.08632105081,-38187.33437396877,-135242.17264210162
827.2727272727273,554.1227272727273,-89538.46359856219,-103009.74407476667,-35515.42289009939,-18507.617818363404,-67494.32118466728,-37015.23563672681,-134988.64236933456
836.3636363636364,563.2136363636364,-90039.95575504034,-103428.38476911218,-36060.66901051524,-17918.617734009866,-67367.71575859694,-35837.23546801973,-134735.43151719388
845.4545454545455,572.3045454545455,-90544.03377313298,-103849.94690448877,-36608.668552102754,-17326.69666892747,-67241.27835238601,-34653.39333785494,-134482.55670477203
854.5454545454545,581.3954545454545,-91050.6753082023,-104274.4127682312,-37159.395784216584,-16731.88373976914,-67115.01698401461,-33463.76747953828,-134230.03396802922
863.6363636363637,590.4863636363638,-91559.85846764059,-104701.76489590592,-37712.82550145193,-16134.207464736726,-66988.93939445398,-32268.414929473453,-133977.87878890795
872.7272727272727,599.5772727272728,-92071.56179756505,-105131.9860688042,-38268.93300746548,-15533.695782634095,-66863.05306133872,-31067.39156526819,-133726.10612267745
881.8181818181819,608.6681818181819,-92585.76427001753,-105565.0593112659,-38827.69409944925,-14930.37607111904,-66737.36521181665,-29860.75214223808,-133474.7304236333
890.909090909091,617.759090909091,-93102.44527064523,-106000.96788785997,-39389.08505322548,-14324.275164194274,-66611.88283463448,-28648.55032838855,-133223.76566926896
900.0,626.85,-93621.58458684213,-106439.69530044391,-39953.082608931836,-13715.419368978459,-66486.61269151207,-27430.838737956918,-132973.22538302414
909.0909090909091,635.9409090909091,-94143.16239632895,-106881.22528512205,-40519.66395726799,-13103.834481792961,-66361.56132785405,-26207.668963585922,-132723.1226557081
918.1818181818182,645.0318181818183,-94667.15925615311,-107325.54180912195,-41088.806726277224,-12489.545803598667,-66236.73508284472,-24979.091607197333,-132473.47016568945
927.2727272727273,654.1227272727273,-95193.55609208976,-107772.62906760308,-41660.48896863636,-11872.578154817034,-66112.14009896672,-23745.15630963407,-132224.28019793343
936.3636363636364,663.2136363636364,-95722.3341884258,-108222.47148041414,-42234.68914943127,-11252.95588956325,-65987.78233098287,-22505.9117791265,-131975.56466196573
945.4545454545455,672.3045454545455,-96253.47517811118,-108675.05368881,-42811.38613439367,-10630.702909323838,-65863.66755441633,-21261.405818647676,-131727.33510883266
954.5454545454545,681.3954545454545,-96786.9610332601,-109130.36055214067,-43390.55917857926,-10005.842676101587,-65739.80137356141,-20011.685352203174,-131479.60274712282
963.6363636363637,690.4863636363638,-97322.77405598841,-109588.37714452193,-43972.18791546582,-9378.398225056764,-65616.18922905611,-18756.79645011353,-131232.37845811222
