T_K,T_C,GM_system_product,stable_phases,spinel_phase_found,GM_spinel,G_Cu_metal,G_O2,dG_alternative_J,dG_alternative_kJ,dG_original_J,dG_original_kJ,dG_Fe_oxidation_kJ,notes
800,526.85,-162100.4647814551,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-162103.1197183228,-33912.572992159054,-172813.30445913016,-85340.8526935759,-85.3408526935759,-271031.87479102425,-271.0318747910243,-185.69102209744838,
850,576.85,-164531.67607179517,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-164537.2634709534,-36899.715722671725,-184655.7645699373,-82376.5844552957,-82.3765844552957,-262714.1421186505,-262.7141421186505,-180.3375576633548,
900,626.85,-167047.69629780907,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-167058.81578977132,-39969.02623895592,-196598.46464191502,-79384.09696046007,-79.38409696046007,-253638.98177118867,-253.63898177118867,-174.25488481072858,
950,676.85,-169644.24533357978,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-169665.2505084478,-43116.53145504323,-208636.66243571485,-76337.72444487084,-76.33772444487084,-244633.46308515663,-244.63346308515662,-168.29573864028578,
1000,726.85,-172317.52563958283,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-172355.29168927786,-46338.66341131481,-220766.04114120515,-73247.96865262697,-73.24796865262697,-235692.70566542842,-235.69270566542843,-162.44473701280145,
1050,776.85,-175064.16515507363,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-175128.95087256038,-49632.20212835616,-232982.6508510953,-70178.77334360895,-70.17877334360895,-226812.178289979,-226.812178289979,-156.63340494637004,
1100,826.85,-177881.17431292636,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-177987.4837585007,-52994.23058128006,-245282.87268568174,-67143.94676614506,-67.14394676614506,-217989.72302961745,-217.98972302961747,-150.8457762634724,
1150,876.85,-180765.90966371616,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-180933.22772106796,-56422.09952457435,-257663.3746140724,-64151.392707426334,-64.15139270742634,-209224.60609215382,-209.2246060921538,-145.07321338472747,
1200,926.85,-183716.0383880882,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-183969.2931740159,-59913.400421959326,-270121.07914274716,-61206.73749825312,-61.20673749825312,-200513.52696056827,-200.51352696056827,-139.30678946231515,
1250,976.85,-186729.49965165314,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-187099.09433288578,-63465.94505805945,-282653.13758733065,-58314.51310632285,-58.31451310632285,-191857.94243765925,-191.85794243765926,-133.54342933133643,
1300,1026.85,-189804.46048085697,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-190325.7232691652,-67077.64455849766,-295256.90740000026,-55478.722378524486,-55.47872237852449,-183259.2137216339,-183.2592137216339,-127.78049134310942,
1350,1076.85,-192939.26580491473,CUO#1; GAS#1; SPINEL#1,SPINEL#1,-193651.20568066667,-70746.38367789735,-307929.9322742684,-52703.069488500245,-52.70306948850025,-174717.4310201225,-174.7174310201225,-122.01436153162224,
1400,1126.85,-196159.74749030202,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-197585.6489223277,-74885.75572616636,-320669.92478441016,-49766.68691877485,-49.76668691877485,-166008.68846614822,-166.00868846614821,-116.24200154737336,
1450,1176.85,-199477.68915743323,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-202219.42484726358,-79154.90829742474,-333474.75137103954,-47103.749371410115,-47.10374937141012,-157564.5635551985,-157.56456355519848,-110.46081418378836,
1500,1226.85,-202912.61303856652,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-207499.80046531555,-83478.17103307633,-346342.4195472346,-44936.49858588353,-44.93649858588353,-149605.05906974454,-149.60505906974456,-104.66856048386103,
1550,1276.85,-206478.19573566693,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-213044.49140059802,-87853.73960806547,-359271.06726446614,-43371.56293155113,-43.37156293155113,-142234.88229793054,-142.23488229793054,-98.86331936637941,
1600,1326.85,-210180.75055691897,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-218573.070040993,-92279.92616727331,-372258.95443950023,-42463.10407268698,-42.46310407268698,-135506.61616360978,-135.50661616360978,-93.0435120909228,
1650,1376.85,-214033.8048883635,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-224073.47574808562,-96755.14839899541,-385304.45669843507,-42314.671883697854,-42.314671883697855,-129293.44387955638,-129.29344387955638,-86.97877199585852,
1700,1426.85,-218074.3954513268,GAS#1; IONIC_LIQ#2; SPINEL#1,SPINEL#1,-229645.0802664577,-101277.91993393125,-398406.06143899396,-43191.36262170249,-43.19136262170249,-122290.4987869768,-122.2904987869768,-79.0991361652743,
1750,1476.85,-222375.51974312338,GAS#1; IONIC_LIQ#2,,,-105846.8418745748,-411562.36634471465,-44593.63977112505,-44.59363977112505,-116776.72267132695,-116.77672267132695,-72.1830829002019,
1800,1526.85,-226811.19118239352,GAS#1; IONIC_LIQ#2,,,-110460.5952933756,-424772.08050325216,-45669.509581665974,-45.66950958166598,-111880.30160552566,-111.88030160552566,-66.21079202385968,
1850,1576.85,-231322.1583674368,GAS#1; IONIC_LIQ#2,,,-115117.93456500792,-438034.02828497055,-46932.59964095638,-46.93259964095638,-107179.27501434181,-107.17927501434181,-60.24667537338543,
1900,1626.85,-235907.2908840902,GAS#1; IONIC_LIQ#2,,,-119817.68141994256,-451347.15612763376,-46715.28899386688,-46.71528899386688,-102693.78160813451,-102.69378160813451,-55.97849261426764,
