system,ratio_label,ratio_value,T_K,X_Cu,X_M1,X_Si,X_O,a_Cu,stable_phases,notes
Cu-Mn-Si-O,MnO:SiO2,0.2,1800,0.003,0.058647,0.293235,0.645118,0.0006024287195135149,CRISTOBALITE#1; IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Mn-Si-O,MnO:SiO2,0.4,1800,0.003,0.104947,0.262368,0.629684,0.0005921646682545373,CRISTOBALITE#1; IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,0.6,1800,0.003,0.142429,0.237381,0.61719,0.0005849859614188124,CRISTOBALITE#1; IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,0.8,1800,0.003,0.173391,0.216739,0.60687,0.0005795578709134352,CRISTOBALITE#1; IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,1.0,1800,0.003,0.1994,0.1994,0.5982,0.0005747540319710688,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,1.2,1800,0.003,0.221556,0.18463,0.590815,0.0005690086100650586,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,1.4,1800,0.003,0.240655,0.171897,0.584448,0.0005623991726393003,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Mn-Si-O,MnO:SiO2,1.6,1800,0.003,0.25729,0.160806,0.578903,0.0005549646048769486,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,1.8,1800,0.003,0.271909,0.151061,0.57403,0.0005469620453455369,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,2.0,1800,0.003,0.284857,0.142429,0.569714,0.0005386374910615401,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,2.2,1800,0.003,0.296405,0.13473,0.565865,0.0005302395956835024,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Mn-Si-O,MnO:SiO2,2.4,1800,0.003,0.306769,0.127821,0.56241,0.0005220166239764437,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,2.6,1800,0.003,0.316122,0.121585,0.559293,0.0005141731215264483,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Mn-Si-O,MnO:SiO2,2.8,1800,0.003,0.324605,0.11593,0.556465,0.000506844968432079,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Mn-Si-O,MnO:SiO2,3.0,1800,0.003,0.332333,0.110778,0.553889,0.0005001045724686611,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Al-Si-O,Al2O3:SiO2,0.2,1800,0.003,0.0997,0.24925,0.64805,0.0006238595135610499,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,0.4,1800,0.003,0.15952,0.1994,0.63808,0.0006238595135610499,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,0.6,1800,0.003,0.1994,0.166167,0.631433,0.0006238595135610521,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,0.8,1800,0.003,0.227886,0.142429,0.626686,0.0006238595135610521,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,1.0,1800,0.003,0.24925,0.124625,0.623125,0.0006238595135610521,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,1.2,1800,0.003,0.265867,0.110778,0.620356,0.0006238595135610504,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,1.4,1800,0.003,0.27916,0.0997,0.61814,0.0006238595135610504,CRISTOBALITE#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,1.6,1800,0.003,0.290036,0.090636,0.616327,0.0006240110028708597,IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,1.8,1800,0.003,0.2991,0.083083,0.614817,0.0006240764395684967,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,2.0,1800,0.003,0.306769,0.076692,0.613538,0.0006240764395684967,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,2.2,1800,0.003,0.313343,0.071214,0.612443,0.0006240764395684956,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,2.4,1800,0.003,0.31904,0.066467,0.611493,0.0006240764395684967,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,2.6,1800,0.003,0.324025,0.062313,0.610662,0.0006240764395684967,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,2.8,1800,0.003,0.328424,0.058647,0.609929,0.0006240764395684973,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
Cu-Al-Si-O,Al2O3:SiO2,3.0,1800,0.003,0.332333,0.055389,0.609278,0.0006240764395684973,CORUNDUM#1; IONIC_LIQ#1; MULLITE#1,
