system,T_K,X_Cu,X_M,X_O,stable_phases,num_phases,dominant_phase,GM_system,notes
Cu-Al-O,1800,0.01,0.98,0.01,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-115700.37232975748,
Cu-Al-O,1800,0.01,0.943684,0.046316,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-132713.98698023407,
Cu-Al-O,1800,0.01,0.907368,0.082632,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-149726.9383379141,
Cu-Al-O,1800,0.01,0.871053,0.118947,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-166739.12827378607,
Cu-Al-O,1800,0.01,0.834737,0.155263,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-183750.43512848305,
Cu-Al-O,1800,0.01,0.798421,0.191579,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-200760.705529583,
Cu-Al-O,1800,0.01,0.762105,0.227895,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-217769.74230991318,
Cu-Al-O,1800,0.01,0.725789,0.264211,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-234777.2860599983,
Cu-Al-O,1800,0.01,0.689474,0.300526,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-251782.98580962262,
Cu-Al-O,1800,0.01,0.653158,0.336842,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-268786.3501096125,
Cu-Al-O,1800,0.01,0.616842,0.373158,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-285786.66032372636,
Cu-Al-O,1800,0.01,0.580526,0.409474,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-302782.80457059096,
Cu-Al-O,1800,0.01,0.544211,0.445789,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-319772.9251725321,
Cu-Al-O,1800,0.01,0.507895,0.482105,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-336753.553091419,
Cu-Al-O,1800,0.01,0.471579,0.518421,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-353716.9479269605,
Cu-Al-O,1800,0.01,0.435263,0.554737,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-370638.71936407196,
Cu-Al-O,1800,0.01,0.398947,0.591053,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-387206.7364380242,
Cu-Al-O,1800,0.01,0.362632,0.627368,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-373669.5326722485,
Cu-Al-O,1800,0.01,0.326316,0.663684,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-357447.85379414674,
Cu-Al-O,1800,0.01,0.29,0.7,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-341226.17491604394,
Cu-Al-O,1800,0.035789,0.954211,0.01,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-118110.29607183814,
Cu-Al-O,1800,0.035789,0.917895,0.046316,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-135097.80596730913,
Cu-Al-O,1800,0.035789,0.881579,0.082632,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-152082.75728828143,
Cu-Al-O,1800,0.035789,0.845263,0.118947,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-169064.75492111055,
Cu-Al-O,1800,0.035789,0.808947,0.155263,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-186043.30443090026,
Cu-Al-O,1800,0.035789,0.772632,0.191579,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-203017.775676312,
Cu-Al-O,1800,0.035789,0.736316,0.227895,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-219987.34805669956,
Cu-Al-O,1800,0.035789,0.7,0.264211,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-236950.92499796138,
Cu-Al-O,1800,0.035789,0.663684,0.300526,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-253906.99427624946,
Cu-Al-O,1800,0.035789,0.627368,0.336842,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-270853.386960155,
Cu-Al-O,1800,0.035789,0.591053,0.373158,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-287786.83147416875,
Cu-Al-O,1800,0.035789,0.554737,0.409474,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-304702.0505270569,
Cu-Al-O,1800,0.035789,0.518421,0.445789,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-321589.6922350688,
Cu-Al-O,1800,0.035789,0.482105,0.482105,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-338430.6590041587,
Cu-Al-O,1800,0.035789,0.445789,0.518421,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-355175.3311848974,
Cu-Al-O,1800,0.035789,0.409474,0.554737,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-371607.66930801026,
Cu-Al-O,1800,0.035789,0.373158,0.591053,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-376569.55250715045,
Cu-Al-O,1800,0.035789,0.336842,0.627368,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-360347.8736290477,
Cu-Al-O,1800,0.035789,0.300526,0.663684,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-344126.1947509466,
Cu-Al-O,1800,0.035789,0.264211,0.7,CORUNDUM#1; GAS#1; IONIC_LIQ#2,3,CORUNDUM#1,-327904.51587284496,
Cu-Al-O,1800,0.061579,0.928421,0.01,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-120182.98118966077,
Cu-Al-O,1800,0.061579,0.892105,0.046316,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-137142.36147097946,
Cu-Al-O,1800,0.061579,0.855789,0.082632,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-154096.97303324824,
Cu-Al-O,1800,0.061579,0.819474,0.118947,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-171046.0445468357,
Cu-Al-O,1800,0.061579,0.783158,0.155263,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-187988.60071145784,
Cu-Al-O,1800,0.061579,0.746842,0.191579,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-204923.38329999687,
Cu-Al-O,1800,0.061579,0.710526,0.227895,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-221848.7298950708,
Cu-Al-O,1800,0.061579,0.674211,0.264211,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-238762.37987684723,
Cu-Al-O,1800,0.061579,0.637895,0.300526,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-255661.14825159212,
Cu-Al-O,1800,0.061579,0.601579,0.336842,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-272540.3426308571,
Cu-Al-O,1800,0.061579,0.565263,0.373158,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-289392.63677339064,
Cu-Al-O,1800,0.061579,0.528947,0.409474,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-306205.66020022985,
Cu-Al-O,1800,0.061579,0.492632,0.445789,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-322956.0649572368,
Cu-Al-O,1800,0.061579,0.456316,0.482105,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-339591.5979007169,
Cu-Al-O,1800,0.061579,0.42,0.518421,CORUNDUM#1; IONIC_LIQ#1,2,CORUNDUM#1,-355955.48901853885,
